Date,Price
01-01-2024,90.25
02-01-2024,90.18
03-01-2024,90.5
04-01-2024,91.26
05-01-2024,91.15
06-01-2024,91.03
07-01-2024,91.82
08-01-2024,92.2
09-01-2024,91.97
10-01-2024,92.24
11-01-2024,92.01
12-01-2024,91.78
13-01-2024,91.9
14-01-2024,90.94
15-01-2024,90.08
16-01-2024,89.8
17-01-2024,89.29
18-01-2024,89.45
19-01-2024,88.99
20-01-2024,88.29
21-01-2024,89.02
22-01-2024,88.91
23-01-2024,88.94
24-01-2024,88.23
25-01-2024,87.96
26-01-2024,88.01
27-01-2024,87.44
28-01-2024,87.62
29-01-2024,87.32
30-01-2024,87.18
31-01-2024,86.88
01-02-2024,87.8
02-02-2024,87.8
03-02-2024,87.27
04-02-2024,87.68
05-02-2024,87.07
06-02-2024,87.17
07-02-2024,86.19
08-02-2024,85.53
09-02-2024,85.63
10-02-2024,86
11-02-2024,86.08
12-02-2024,86.02
13-02-2024,85.87
14-02-2024,85.13
15-02-2024,85
16-02-2024,85
17-02-2024,85.53
18-02-2024,85.7
19-02-2024,85
20-02-2024,85.16
21-02-2024,85
22-02-2024,85
23-02-2024,85.31
24-02-2024,85.82
25-02-2024,86.29
26-02-2024,85.87
27-02-2024,85.71
28-02-2024,85.88
29-02-2024,86.37
01-03-2024,86.13
02-03-2024,86.03
03-03-2024,85.48
04-03-2024,85
05-03-2024,85.41
06-03-2024,86.08
07-03-2024,86.05
08-03-2024,86.55
09-03-2024,86.73
10-03-2024,86.41
11-03-2024,86.59
12-03-2024,87.36
13-03-2024,87.34
14-03-2024,88.12
15-03-2024,86.81
16-03-2024,87.22
17-03-2024,87.27
18-03-2024,87.12
19-03-2024,87.16
20-03-2024,86.17
21-03-2024,86.06
22-03-2024,86.24
23-03-2024,86.98
24-03-2024,86.72
25-03-2024,86.31
26-03-2024,86.06
27-03-2024,86.52
28-03-2024,86.69
29-03-2024,86.42
30-03-2024,86.68
31-03-2024,86.73
01-04-2024,87.21
02-04-2024,86.86
03-04-2024,86.69
04-04-2024,86.5
05-04-2024,85.77
06-04-2024,85.92
07-04-2024,86.05
08-04-2024,86.05
09-04-2024,85.93
10-04-2024,85.22
11-04-2024,85.01
12-04-2024,85
13-04-2024,85
