trip_id,date,time,driver_id,start_location,end_location,distance,duration,petrol_price,vehicle_mileage,weather,peak_hours,total_fare,Driver_Service,No_of_Seats,Car_Type,Driver_Wages
739776,18-10-2024,05:13:00,13733153,College Campus,Porur,10.5,69,89.64,18,Rainy,False,86.28,No,7,Sedan,0
840211,06-03-2024,12:07:10,42041085,Porur,College Campus,6.2,87,86.08,15,Sunny,False,64.04,Yes,6,SUV,6822
349185,10-01-2024,10:25:40,54363070,College Campus,Porur,27.3,35,92.24,17,Sunny,True,244.41,Yes,5,Hatchback,7014
686975,01-09-2024,11:37:00,61327131,Adyar,College Campus,17.2,35,91.11,17,Sunny,False,152.1,Yes,5,Minivan,6130
639235,26-07-2024,19:30:09,82493791,Velachery,College Campus,29.8,22,88.57,15,Sunny,True,316.73,Yes,4,Minivan,8448
269985,01-05-2024,18:04:29,61694797,Porur,College Campus,9.6,47,86.95,15,Rainy,True,91.82,Yes,5,SUV,5265
49764,20-04-2024,15:37:25,16651151,Anna Nagar,College Campus,9.5,89,85.36,18,Cloudy,False,87.85,No,4,Minivan,0
288548,16-05-2024,22:13:27,111359,Tambaram,College Campus,23.9,18,86.25,12,Sunny,False,334.97,Yes,5,Minivan,7713
147026,23-11-2024,23:54:23,48118295,College Campus,Mylapore,12.0,72,94.53,15,Cloudy,False,124.78,Yes,7,Hatchback,5365
689874,09-06-2024,21:55:50,26854888,Adyar,College Campus,27.8,44,85.87,14,Rainy,True,281.35,Yes,4,Minivan,6164
20057,09-04-2024,18:10:32,40008321,College Campus,Tambaram,24.2,77,85.93,14,Sunny,True,245.08,Yes,7,SUV,8424
124416,15-05-2024,19:51:02,38062034,College Campus,Adyar,15.4,75,86.64,18,Cloudy,True,122.31,Yes,5,Sedan,6048
867843,21-05-2024,08:45:47,41917727,Adyar,College Campus,13.6,30,86.65,19,Rainy,True,120.95,Yes,5,Sedan,7045
142166,11-05-2024,14:52:18,63454375,College Campus,Mylapore,27.0,54,86.62,17,Rainy,True,268.27,No,4,Minivan,0
299655,15-10-2024,21:27:54,13161189,Porur,College Campus,12.7,23,90.31,16,Sunny,False,139.78,No,5,Minivan,0
301074,16-05-2024,18:50:02,42806044,College Campus,Tambaram,19.6,21,86.25,15,Cloudy,False,202.86,No,5,Sedan,0
127855,22-05-2024,18:36:21,88603307,Anna Nagar,College Campus,16.3,49,85.85,20,Cloudy,False,115.45,Yes,7,SUV,5687
863992,21-08-2024,17:16:04,56817523,Velachery,College Campus,24.3,83,90.91,13,Rainy,True,280.39,No,7,SUV,0
314343,02-01-2024,23:31:31,41752129,College Campus,T Nagar,10.1,76,90.18,15,Sunny,True,118.41,No,4,Minivan,0
172140,02-01-2024,10:21:56,21589659,Anna Nagar,College Campus,21.7,54,90.18,16,Sunny,False,220.15,No,4,SUV,0
592236,18-08-2024,14:33:35,45059599,College Campus,T Nagar,7.7,32,91.11,20,Sunny,False,57.88,No,7,Hatchback,0
529132,21-02-2024,07:14:03,53591964,College Campus,Adyar,25.3,85,85.0,15,Cloudy,False,258.06,No,7,Minivan,0
127654,14-02-2024,22:47:32,26719158,College Campus,Tambaram,24.0,58,85.13,17,Rainy,False,234.36,Yes,7,Hatchback,8018
862505,15-06-2024,20:48:16,57331474,T Nagar,College Campus,18.4,50,87.53,17,Rainy,True,156.32,No,7,Sedan,0
657675,19-05-2024,02:32:05,97818795,College Campus,Velachery,19.8,54,85.88,19,Rainy,False,161.09,No,4,Minivan,0
368584,10-04-2024,04:56:58,40247573,College Campus,Adyar,13.6,64,85.22,17,Cloudy,True,122.72,No,4,Sedan,0
588505,29-08-2024,20:13:08,45059599,Adyar,College Campus,24.3,79,91.02,19,Sunny,False,209.54,Yes,6,Hatchback,5791
142555,11-05-2024,05:25:51,5464504,Mylapore,College Campus,11.0,29,86.62,15,Cloudy,True,123.87,Yes,6,Sedan,7673
565680,01-01-2024,17:41:42,36477709,College Campus,Mylapore,24.8,51,90.25,12,Sunny,True,307.75,Yes,4,Sedan,7227
751721,04-03-2024,20:03:41,40746601,College Campus,Anna Nagar,27.2,74,85.0,20,Rainy,True,190.74,No,6,Sedan,0
472981,13-04-2024,14:33:23,78792784,College Campus,Porur,27.2,22,85.0,20,Rainy,True,190.74,Yes,4,SUV,8069
577034,17-12-2024,00:52:18,32632046,Adyar,College Campus,26.2,34,92.63,15,Sunny,False,266.96,Yes,6,Sedan,7289
516388,02-05-2024,23:01:31,67303032,Mylapore,College Campus,18.5,44,87.66,13,Cloudy,True,224.54,No,6,Hatchback,0
556315,23-01-2024,11:51:09,28585094,Adyar,College Campus,11.2,26,88.94,13,Rainy,False,126.43,No,6,Minivan,0
921014,26-05-2024,16:34:02,67303032,Adyar,College Campus,14.2,28,85.84,16,Cloudy,False,148.56,No,5,Minivan,0
932873,25-09-2024,12:54:26,17593208,College Campus,Porur,24.4,80,89.26,13,Rainy,True,276.43,Yes,6,SUV,7832
508594,08-07-2024,18:58:13,4866365,Porur,College Campus,21.9,30,88.63,17,Rainy,True,205.52,Yes,4,Minivan,6295
763647,11-01-2024,16:52:37,40008321,College Campus,Velachery,26.8,87,92.01,19,Sunny,False,253.08,Yes,4,Sedan,6414
998607,03-02-2024,08:40:07,12293203,Tambaram,College Campus,22.0,46,87.27,19,Rainy,True,181.89,Yes,6,Hatchback,5819
124163,30-04-2024,07:01:45,26646392,College Campus,Anna Nagar,30.0,36,87.41,14,Cloudy,False,337.15,No,6,SUV,0
461936,14-12-2024,22:45:41,33633679,T Nagar,College Campus,19.5,86,91.84,14,Cloudy,True,211.07,No,4,Minivan,0
919274,26-12-2024,15:00:14,67797265,Mylapore,College Campus,9.5,64,92.32,14,Sunny,False,103.37,Yes,6,Sedan,6770
718089,24-08-2024,12:28:50,85571452,Anna Nagar,College Campus,28.9,51,91.29,18,Cloudy,False,285.81,Yes,6,Minivan,7522
